Rank,Place,State,Census,Estimates Base,2010,2011,latitude,longitude
99,Gilbert town,Arizona,"208,453","208,453","208,876","211,951",36.59432,-75.887601
100,Rochester city,New York,"210,565","210,565","210,578","210,855",19.380696,-99.178926
101,Boise City city,Idaho,"205,671","205,671","206,252","210,145",38.803184,-104.699753
102,Spokane city,Washington,"208,916","208,916","209,296","210,103",36.787371,-76.283551
103,Montgomery city,Alabama,"205,764","205,771","206,083","208,182",37.891713,-88.320043
104,Des Moines city,Iowa,"203,433","203,433","204,191","206,599",25.184732,121.446608
105,Richmond city,Virginia,"204,214","204,214","204,159","205,533",36.120596,-95.985336
106,Fayetteville city,North Carolina,"200,564","200,564","201,022","203,945",38.338659,-87.345013
107,Modesto city,California,"201,165","201,165","201,541","202,751",19.379985,-99.180601
108,Shreveport city,Louisiana,"199,311","199,311","199,819","200,975",26.039853,-80.295064
109,Tacoma city,Washington,"198,397","198,397","198,434","200,678",37.785506,-122.288579
110,Oxnard city,California,"197,899","197,899","198,412","199,943",40.632326,-74.165144
111,Aurora city,Illinois,"197,899","197,897","198,288","199,672",14.627215,121.045395
112,Fontana city,California,"196,069","196,069","196,737","199,028",38.319083,-77.496358
113,Akron city,Ohio,"199,110","199,110","199,005","198,402",27.960633,-82.441897
114,Moreno Valley city,California,"193,365","193,365","194,557","197,838",33.782108,-118.297551
115,Yonkers city,New York,"195,976","195,979","196,223","197,399",39.78373,-100.445882
116,Augusta-Richmond County consolidated government (balance),Georgia,"195,844","195,844","196,175","196,494",-33.830278,18.631944
117,Little Rock city,Arkansas,"193,524","193,524","193,944","195,314",14.583335,121.013041
118,Mobile city,Alabama,"195,111","195,107","195,166","194,914",38.627273,-90.197889
119,Columbus city,Georgia,"189,885","189,885","190,371","194,107",-34.019995,18.362116
120,Amarillo city,Texas,"190,695","190,695","191,398","193,675",14.730827,121.064717
121,Glendale city,California,"191,719","191,719","191,883","193,111",40.730599,-73.986581
122,Huntington Beach city,California,"189,992","189,992","190,460","192,888",19.363055,-99.247796
123,Salt Lake City city,Utah,"186,440","186,443","187,082","189,899",17.814947,-88.311548
124,Grand Rapids city,Michigan,"188,040","188,041","188,166","189,815",41.337302,-75.73297
125,Tallahassee city,Florida,"181,376","181,376","181,626","182,965",36.723483,-76.593562
126,Huntsville city,Alabama,"180,105","180,120","180,829","182,956",30.555139,104.04978
127,Worcester city,Massachusetts,"181,045","181,045","181,208","181,631",7.130837,125.747808
128,Knoxville city,Tennessee,"178,874","178,874","179,225","180,761",19.575758,-99.133289
129,Newport News city,Virginia,"180,719","180,719","180,618","179,611",41.940897,-78.555579
130,Grand Prairie city,Texas,"175,396","175,396","175,994","179,100",15.791741,120.989145
131,Brownsville city,Texas,"175,023","175,027","175,764","178,430",40.070886,-74.84843
132,Providence city,Rhode Island,"178,042","178,042","178,077","178,053",39.78373,-100.445882
133,Santa Clarita city,California,"176,320","176,320","176,469","177,601",38.781095,-107.950898
134,Overland Park city,Kansas,"173,372","173,372","173,870","176,185",37.779277,-122.41927
135,Jackson city,Mississippi,"173,514","173,516","173,707","175,561",34.460644,-86.233315
136,Garden Grove city,California,"170,883","170,883","171,302","173,470",-33.962545,18.639268
137,Chattanooga city,Tennessee,"167,674","167,978","168,393","170,136",38.959105,-94.580993
138,Oceanside city,California,"167,086","167,086","167,630","169,569",14.674334,121.10036
139,Santa Rosa city,California,"167,815","167,821","168,109","169,292",-34.607566,-58.403463
140,Fort Lauderdale city,Florida,"165,521","165,521","165,900","168,528",31.799025,-106.443639
141,Rancho Cucamonga city,California,"165,269","165,269","165,823","167,721",36.735428,-76.600785
142,Ontario city,California,"163,924","163,924","164,482","166,390",25.18416,121.44694
143,Port St. Lucie city,Florida,"164,603","164,603","165,166","166,149",32.964548,-102.829096
144,Vancouver city,Washington,"161,791","161,807","162,432","164,759",39.78373,-100.445882
145,Tempe city,Arizona,"161,719","161,719","162,029","164,268",38.894955,-77.036646
146,Springfield city,Missouri,"159,498","159,509","159,634","160,660",39.78373,-100.445882
147,Lancaster city,California,"156,633","156,633","156,743","157,693",39.78373,-100.445882
148,Pembroke Pines city,Florida,"154,750","154,750","155,109","157,594",19.387383,-99.178516
149,Cape Coral city,Florida,"154,305","154,305","154,734","157,476",19.363939,-99.249048
150,Eugene city,Oregon,"156,185","156,191","156,260","156,929",35.473444,-97.518506
151,Peoria city,Arizona,"154,065","154,067","154,378","156,637",35.489485,-97.549931
152,Sioux Falls city,South Dakota,"153,888","153,890","154,443","156,592",35.144828,-106.613232
153,Salem city,Oregon,"154,637","154,637","155,029","156,244",39.78373,-100.445882
154,Corona city,California,"152,374","152,374","153,314","155,896",20.210278,-98.992778
155,Elk Grove city,California,"153,015","153,015","153,377","154,908",14.890102,-90.558705
156,Palmdale city,California,"152,750","152,750","152,880","153,867",39.78373,-100.445882
157,Springfield city,Massachusetts,"153,060","153,060","153,134","153,155",37.785426,-122.289152
158,Salinas city,California,"150,441","150,441","150,929","152,994",50.675786,-120.424031
159,Pasadena city,Texas,"149,043","149,043","149,661","152,281",36.59432,-75.887601
160,Rockford city,Illinois,"152,871","152,871","152,807","152,222",19.380696,-99.178926
161,Pomona city,California,"149,058","149,058","149,182","150,119",38.803184,-104.699753
162,Joliet city,Illinois,"147,433","147,440","147,745","148,402",36.787371,-76.283551
163,Fort Collins city,Colorado,"143,986","143,991","144,425","146,762",37.891713,-88.320043
164,Torrance city,California,"145,438","145,438","145,561","146,493",25.184732,121.446608
165,Kansas City city,Kansas,"145,786","145,786","146,070","146,453",36.120596,-95.985336
166,Paterson city,New Jersey,"146,199","146,199","146,309","146,427",38.338659,-87.345013
167,Hayward city,California,"144,186","144,186","144,451","146,069",19.379985,-99.180601
168,Escondido city,California,"143,911","143,911","144,375","146,032",26.039853,-80.295064
169,Bridgeport city,Connecticut,"144,229","144,229","144,463","145,638",37.785506,-122.288579
170,Syracuse city,New York,"145,170","145,170","145,237","145,151",40.632326,-74.165144
171,Lakewood city,Colorado,"142,980","142,980","143,224","144,406",14.627215,121.045395
172,Alexandria city,Virginia,"139,966","139,966","140,894","144,301",38.319083,-77.496358
173,Hollywood city,Florida,"140,768","140,768","141,095","143,357",27.960633,-82.441897
174,Naperville city,Illinois,"141,853","141,853","142,051","142,773",33.782108,-118.297551
175,Mesquite city,Texas,"139,824","139,824","140,245","142,674",39.78373,-100.445882
176,Sunnyvale city,California,"140,081","140,081","140,449","142,287",-33.830278,18.631944
177,Dayton city,Ohio,"141,527","141,527","141,696","142,148",14.583335,121.013041
178,Cary town,North Carolina,"135,234","135,249","136,135","139,633",38.627273,-90.197889
179,Savannah city,Georgia,"136,286","136,280","136,565","139,491",-34.019995,18.362116
180,Orange city,California,"136,416","136,416","136,739","138,409",14.730827,121.064717
181,Pasadena city,California,"137,122","137,122","137,238","138,101",40.730599,-73.986581
182,Fullerton city,California,"135,161","135,161","135,488","137,183",19.363055,-99.247796
183,Hampton city,Virginia,"137,436","137,436","137,328","136,401",17.814947,-88.311548
184,Clarksville city,Tennessee,"132,929","132,934","133,680","136,231",41.337302,-75.73297
185,McKinney city,Texas,"131,117","131,117","132,140","136,067",36.723483,-76.593562
186,Warren city,Michigan,"134,056","134,056","134,051","134,243",30.555139,104.04978
187,McAllen city,Texas,"129,877","129,877","130,759","133,742",7.130837,125.747808
188,West Valley City city,Utah,"129,480","129,480","129,935","131,942",19.575758,-99.133289
189,Columbia city,South Carolina,"129,272","129,276","129,612","130,591",41.940897,-78.555579
190,Killeen city,Texas,"127,921","127,921","129,030","130,018",15.791741,120.989145
191,Sterling Heights city,Michigan,"129,699","129,699","129,693","129,880",40.070886,-74.84843
192,New Haven city,Connecticut,"129,779","129,779","129,774","129,585",39.78373,-100.445882
193,Topeka city,Kansas,"127,473","127,473","127,717","128,188",38.781095,-107.950898
194,Thousand Oaks city,California,"126,683","126,683","127,009","127,984",37.779277,-122.41927
195,Olathe city,Kansas,"125,872","125,872","126,234","127,907",34.460644,-86.233315
196,Cedar Rapids city,Iowa,"126,326","126,326","126,528","127,905",-33.962545,18.639268
197,Waco city,Texas,"124,805","124,805","125,351","126,697",38.959105,-94.580993
198,Visalia city,California,"124,442","124,442","124,816","126,432",14.674334,121.10036
199,Elizabeth city,New Jersey,"124,969","124,969","125,195","125,660",-34.607566,-58.403463
200,Simi Valley city,California,"124,237","124,237","124,559","125,522",31.799025,-106.443639
201,Gainesville city,Florida,"124,354","124,354","124,394","125,326",36.735428,-76.600785
202,Hartford city,Connecticut,"124,775","124,775","124,789","124,867",25.18416,121.44694
203,Bellevue city,Washington,"122,363","122,359","122,737","124,798",32.964548,-102.829096
204,Miramar city,Florida,"122,041","122,041","122,327","124,302",39.78373,-100.445882
205,Concord city,California,"122,067","122,067","122,484","124,055",38.894955,-77.036646
206,Stamford city,Connecticut,"122,643","122,643","122,848","123,868",39.78373,-100.445882
207,Coral Springs city,Florida,"121,096","121,098","121,382","123,338",39.78373,-100.445882
208,Charleston city,South Carolina,"120,083","120,083","120,479","122,689",19.387383,-99.178516
209,Carrollton city,Texas,"119,097","119,097","119,729","122,640",19.363939,-99.249048
210,Lafayette city,Louisiana,"120,623","120,621","120,905","122,130",35.473444,-97.518506
211,Roseville city,California,"118,788","118,788","119,403","121,767",35.489485,-97.549931
212,Thornton city,Colorado,"118,772","118,775","119,334","121,435",35.144828,-106.613232
213,Frisco city,Texas,"116,989","116,989","117,871","121,387",39.78373,-100.445882
214,Kent city,Washington,"92,411","118,564","118,929","120,916",20.210278,-98.992778
215,Surprise city,Arizona,"117,517","117,517","117,755","119,489",14.890102,-90.558705
216,Allentown city,Pennsylvania,"118,032","118,032","118,232","119,141",39.78373,-100.445882
217,Beaumont city,Texas,"118,296","118,296","118,347","118,548",37.785426,-122.289152
218,Santa Clara city,California,"116,468","116,468","116,767","118,263",50.675786,-120.424031
219,Abilene city,Texas,"117,063","117,063","117,404","118,117",36.59432,-75.887601
220,Evansville city,Indiana,"117,429","117,429","117,483","117,825",19.380696,-99.178926
221,Victorville city,California,"115,903","115,921","116,299","117,597",38.803184,-104.699753
222,Independence city,Missouri,"116,830","116,830","116,969","117,213",36.787371,-76.283551
223,Denton city,Texas,"113,383","113,379","114,103","117,187",37.891713,-88.320043
224,Springfield city,Illinois,"116,250","116,272","116,479","117,076",25.184732,121.446608
225,Vallejo city,California,"115,942","115,940","116,161","116,829",36.120596,-95.985336
226,Athens-Clarke County unified government (balance),Georgia,"115,452","115,453","115,450","116,084",38.338659,-87.345013
227,Provo city,Utah,"112,488","112,488","113,153","115,321",19.379985,-99.180601
228,Peoria city,Illinois,"115,007","115,025","114,895","115,234",26.039853,-80.295064
229,Ann Arbor city,Michigan,"113,934","113,934","114,076","114,925",37.785506,-122.288579
230,Lansing city,Michigan,"114,297","114,297","114,247","114,605",40.632326,-74.165144
231,El Monte city,California,"113,475","113,475","113,571","114,296",14.627215,121.045395
232,Midland city,Texas,"111,147","111,147","111,255","113,931",38.319083,-77.496358
233,Berkeley city,California,"112,580","112,578","112,765","113,905",27.960633,-82.441897
234,Norman city,Oklahoma,"110,925","110,925","111,426","113,273",33.782108,-118.297551
235,Downey city,California,"111,772","111,772","111,868","112,584",39.78373,-100.445882
236,Costa Mesa city,California,"109,960","109,960","110,225","111,600",-33.830278,18.631944
237,Murfreesboro city,Tennessee,"108,755","108,767","109,240","111,327",14.583335,121.013041
238,Inglewood city,California,"109,673","109,673","109,765","110,464",38.627273,-90.197889
239,Columbia city,Missouri,"108,500","108,500","108,857","110,438",-34.019995,18.362116
240,Waterbury city,Connecticut,"110,366","110,366","110,360","110,189",14.730827,121.064717
241,Manchester city,New Hampshire,"109,565","109,565","109,634","109,830",40.730599,-73.986581
242,Miami Gardens city,Florida,"107,167","107,167","107,452","109,680",19.363055,-99.247796
243,Elgin city,Illinois,"108,188","108,188","108,395","109,104",17.814947,-88.311548
244,Wilmington city,North Carolina,"106,476","106,476","106,785","108,297",41.337302,-75.73297
245,Westminster city,Colorado,"106,114","106,114","106,486","107,967",36.723483,-76.593562
246,Rochester city,Minnesota,"106,769","106,769","106,943","107,890",30.555139,104.04978
247,Clearwater city,Florida,"107,685","107,685","107,648","107,784",7.130837,125.747808
248,Lowell city,Massachusetts,"106,519","106,519","106,706","107,584",19.575758,-99.133289
249,Pueblo city,Colorado,"106,595","106,595","106,864","107,577",41.940897,-78.555579
250,Arvada city,Colorado,"106,433","106,433","106,627","107,541",15.791741,120.989145
251,San Buenaventura (Ventura) city,California,"106,433","106,433","106,706","107,514",40.070886,-74.84843
252,Gresham city,Oregon,"105,594","105,594","105,905","107,439",39.78373,-100.445882
253,Fargo city,North Dakota,"105,549","105,549","105,884","107,349",38.781095,-107.950898
254,Carlsbad city,California,"105,328","105,328","105,671","106,888",37.779277,-122.41927
255,West Covina city,California,"106,098","106,098","106,188","106,870",34.460644,-86.233315
256,Norwalk city,California,"105,549","105,549","105,639","106,309",-33.962545,18.639268
257,Fairfield city,California,"105,321","105,323","105,524","106,126",38.959105,-94.580993
258,Cambridge city,Massachusetts,"105,162","105,162","105,280","106,038",14.674334,121.10036
259,Murrieta city,California,"103,466","103,466","104,104","105,857",-34.607566,-58.403463
260,Green Bay city,Wisconsin,"104,057","104,057","104,567","105,809",31.799025,-106.443639
261,High Point city,North Carolina,"104,371","104,371","104,627","105,753",36.735428,-76.600785
262,West Jordan city,Utah,"103,712","103,712","104,075","105,675",25.18416,121.44694
263,Billings city,Montana,"104,170","104,170","104,505","105,636",32.964548,-102.829096
264,Richmond city,California,"103,701","103,701","104,053","105,380",39.78373,-100.445882
265,Round Rock city,Texas,"99,887","99,889","100,870","104,664",38.894955,-77.036646
266,Everett city,Washington,"103,019","103,019","103,305","104,295",39.78373,-100.445882
267,Burbank city,California,"103,340","103,340","103,428","104,092",39.78373,-100.445882
268,Antioch city,California,"102,372","102,372","102,724","104,044",19.387383,-99.178516
269,Wichita Falls city,Texas,"104,553","104,553","104,679","103,931",19.363939,-99.249048
270,Palm Bay city,Florida,"103,190","103,190","103,278","103,227",35.473444,-97.518506
271,Centennial city,Colorado,"100,377","100,377","100,861","102,603",35.489485,-97.549931
272,Temecula city,California,"100,097","100,146","100,766","102,464",35.144828,-106.613232
273,Daly City city,California,"101,123","101,123","101,286","102,362",39.78373,-100.445882
274,Odessa city,Texas,"99,940","99,940","99,962","102,106",20.210278,-98.992778
275,Erie city,Pennsylvania,"101,786","101,786","101,826","101,807",14.890102,-90.558705
276,Richardson city,Texas,"99,223","99,223","99,660","101,742",39.78373,-100.445882
277,Pompano Beach city,Florida,"99,845","99,845","100,070","101,617",37.785426,-122.289152
278,Flint city,Michigan,"102,434","102,434","102,271","101,558",50.675786,-120.424031
279,South Bend city,Indiana,"101,168","101,170","101,139","101,081",36.59432,-75.887601
280,West Palm Beach city,Florida,"99,919","99,920","100,128","101,043",19.380696,-99.178926
281,El Cajon city,California,"99,478","99,478","99,796","100,928",38.803184,-104.699753
282,Davenport city,Iowa,"99,685","99,685","100,003","100,802",36.787371,-76.283551
283,Rialto city,California,"99,171","99,170","99,508","100,662",37.891713,-88.320043
284,Santa Maria city,California,"99,553","99,553","99,730","100,277",25.184732,121.446608
285,Broken Arrow city,Oklahoma,"98,850","98,847","99,195","100,073",36.120596,-95.985336
286,Kenosha city,Wisconsin,"99,218","99,226","99,379","99,738",38.338659,-87.345013
287,North Charleston city,South Carolina,"97,471","97,471","97,868","99,727",19.379985,-99.180601
288,Las Cruces city,New Mexico,"97,618","97,618","98,200","99,665",26.039853,-80.295064
289,Boulder city,Colorado,"97,385","97,385","97,574","98,889",37.785506,-122.288579
290,Lewisville city,Texas,"95,290","95,290","95,944","98,737",40.632326,-74.165144
291,Lakeland city,Florida,"97,422","97,419","97,551","98,589",14.627215,121.045395
292,Tyler city,Texas,"96,900","96,900","97,250","98,564",38.319083,-77.496358
293,San Mateo city,California,"97,207","97,207","97,363","98,391",27.960633,-82.441897
294,Lawton city,Oklahoma,"96,867","96,867","97,873","98,177",33.782108,-118.297551
295,Albany city,New York,"97,856","97,856","97,760","97,660",39.78373,-100.445882
296,Compton city,California,"96,455","96,455","96,537","97,156",-33.830278,18.631944
297,Dearborn city,Michigan,"98,153","98,153","97,861","97,144",14.583335,121.013041
298,Clovis city,California,"95,631","95,631","95,915","96,929",38.627273,-90.197889
299,Sandy Springs city,Georgia,"93,853","93,853","94,384","96,856",-34.019995,18.362116
300,Roanoke city,Virginia,"97,032","97,032","96,856","96,714",14.730827,121.064717
301,Livonia city,Michigan,"96,942","96,942","96,658","95,958",40.730599,-73.986581
302,Portsmouth city,Virginia,"95,535","95,535","95,627","95,684",19.363055,-99.247796
303,Vista city,California,"93,834","93,834","94,136","95,204",17.814947,-88.311548
304,New Bedford city,Massachusetts,"95,072","95,072","95,115","95,183",41.337302,-75.73297
305,College Station city,Texas,"93,857","93,862","94,232","95,142",36.723483,-76.593562
306,South Gate city,California,"94,396","94,396","94,477","95,084",30.555139,104.04978
307,Greeley city,Colorado,"92,889","92,889","93,395","94,962",7.130837,125.747808
308,Mission Viejo city,California,"93,305","93,305","93,534","94,721",19.575758,-99.133289
309,San Angelo city,Texas,"93,200","93,200","93,562","94,544",41.940897,-78.555579
310,Yuma city,Arizona,"93,064","93,066","93,436","94,536",15.791741,120.989145
311,Brockton city,Massachusetts,"93,810","93,810","93,965","94,316",40.070886,-74.84843
312,Davie town,Florida,"91,992","91,992","92,205","93,674",39.78373,-100.445882
313,Hillsboro city,Oregon,"91,611","91,611","91,939","93,455",38.781095,-107.950898
314,Pearland city,Texas,"91,252","91,252","91,695","93,305",37.779277,-122.41927
315,Vacaville city,California,"92,428","92,428","92,593","93,088",34.460644,-86.233315
316,Quincy city,Massachusetts,"92,271","92,271","92,445","92,909",-33.962545,18.639268
317,Renton city,Washington,"90,927","90,995","91,278","92,812",38.959105,-94.580993
318,Yakima city,Washington,"91,067","91,067","91,509","92,512",14.674334,121.10036
319,Carson city,California,"91,714","91,714","91,790","92,376",-34.607566,-58.403463
320,Macon city,Georgia,"91,351","91,346","91,416","91,856",31.799025,-106.443639
321,Lee's Summit city,Missouri,"91,364","91,364","91,477","91,668",36.735428,-76.600785
322,Beaverton city,Oregon,"89,803","89,806","90,128","91,625",25.18416,121.44694
323,Tuscaloosa city,Alabama,"90,468","90,483","90,633","91,605",32.964548,-102.829096
324,Hesperia city,California,"90,173","90,173","90,481","91,534",39.78373,-100.445882
325,Sparks city,Nevada,"90,264","90,264","90,463","91,195",38.894955,-77.036646
326,Roswell city,Georgia,"88,346","88,347","88,846","91,168",39.78373,-100.445882
327,Federal Way city,Washington,"89,306","89,306","89,583","91,085",39.78373,-100.445882
328,Westminster city,California,"89,701","89,701","89,920","91,064",19.387383,-99.178516
329,Lynn city,Massachusetts,"90,329","90,329","90,493","91,040",19.363939,-99.249048
330,Orem city,Utah,"88,328","88,328","88,892","90,727",35.473444,-97.518506
331,Santa Monica city,California,"89,736","89,736","89,810","90,377",35.489485,-97.549931
332,Spokane Valley city,Washington,"89,755","89,755","89,923","90,279",35.144828,-106.613232
333,Redding city,California,"89,861","89,861","89,904","90,138",39.78373,-100.445882
334,Miami Beach city,Florida,"87,779","87,779","88,012","89,840",20.210278,-98.992778
335,Waukegan city,Illinois,"89,078","89,078","89,210","89,426",14.890102,-90.558705
336,Rio Rancho city,New Mexico,"87,521","87,521","88,071","89,320",39.78373,-100.445882
337,Sandy city,Utah,"87,461","87,540","87,846","89,200",37.785426,-122.289152
338,Santa Barbara city,California,"88,410","88,409","88,565","89,045",50.675786,-120.424031
339,Fall River city,Massachusetts,"88,857","88,857","88,897","88,962",36.59432,-75.887601
340,Lawrence city,Kansas,"87,643","87,643","87,955","88,727",19.380696,-99.178926
341,Reading city,Pennsylvania,"88,082","88,082","88,351","88,414",38.803184,-104.699753
342,Longmont city,Colorado,"86,270","86,270","86,450","87,712",36.787371,-76.283551
343,Allen city,Texas,"84,246","84,246","84,913","87,473",37.891713,-88.320043
344,Fort Smith city,Arkansas,"86,209","86,209","86,284","87,152",25.184732,121.446608
